EC:2.7.1.41	GLUCOSE-1-PHOSPHATE-PHOSPHODISMUTASE-RXN
EC:1.1.1.9	D-XYLULOSE-REDUCTASE-RXN
EC:3.8.1.5	HALOALKANE-DEHALOGENASE-RXN,LINB1-RXN,DHLAXANAU-RXN,LINB2-RXN
EC:2.4.1.50	PROCOLLAGEN-GALACTOSYLTRANSFERASE-RXN
EC:3.6.4.13	RXN-11109
EC:2.5.1.76	RXN-11108
EC:1.1.1.301	RXN-11106
EC:1.14.13.112	RXN-11101,RXN-11052
EC:3.6.3.33	3.6.3.33-RXN,ABC-5-RXN
EC:6.3.2.33	RXN-11103
EC:3.1.3.80	RXN-11102
EC:2.1.1.231	RXN-12719,RXN-7777
EC:3.7.1.17	RXN-12718
EC:2.7.1.35	PNKIN-RXN,PYRAMKIN-RXN,PYRIDOXKIN-RXN
EC:3.4.21.49	3.4.21.49-RXN
EC:2.3.1.16	RXN-12710,RXN-14774,RXN-11246,RXN-13617,RXN-14793,RXN-14799,RXN-16137,RXN-14803,KETOACYLCOATHIOL-RXN,RXN-12565,RXN-14788,RXN-14274,RXN-14277,RXN-14268,RXN-14394,RXN-10700,RXN-10701,RXN-10699
EC:1.3.99.4	RXN-12714,3-OXOSTEROID-1-DEHYDROGENASE-RXN,RXN-12690,RXN-12741
EC:1.1.1.49	GLU6PDEHYDROG-RXN
EC:1.14.13.31	2-NITROPHENOL-2-MONOOXYGENASE-RXN
EC:2.1.1.311	RXN-15844
EC:2.1.1.312	RXN-15845
EC:2.1.1.313	RXN-15846
EC:2.1.1.309	RXN-15842
EC:2.1.1.310	RXN-15843
EC:2.7.1.4	FRUCTOKINASE-RXN
EC:3.1.11.1	3.1.11.1-RXN
EC:2.1.1.130	2.1.1.130-RXN
EC:3.4.22.28	3.4.22.28-RXN
EC:3.1.5.1	DGTPTRIPHYDRO-RXN
EC:2.8.1.6	2.8.1.6-RXN
EC:6.6.1.1	RXN1F-20
EC:2.1.1.141	RXN1F-28,RXN-10768
EC:1.3.1.13	PREPHENATE-DEHYDROGENASE-NADP+-RXN
EC:5.1.3.14	UDPGLCNACEPIM-RXN
EC:1.1.1.140	SORB6PDEHYDROG-RXN
EC:2.4.99.j	RXN-16573,RXN-16595
EC:3.6.1.26	CDPDIGLYPYPHOSPHA-RXN
EC:4.2.1.76	UDP-GLUCOSE-46-DEHYDRATASE-RXN
EC:3.4.24.69	3.4.24.69-RXN
EC:3.6.3.32	3.6.3.32-RXN,RXN-8638
EC:2.3.1.228	RXN-14718
EC:1.3.1.34	RXN-14715,RXN-7911,RXN-12521,DIENOYLCOAREDUCT-RXN,RXN-14776,RXN-7835,RXN-14790
EC:2.4.1.129	RXN-14712,RXN-15521,2.4.1.129-RXN,RXN-11350,RXN-11291,RXN-16650,RXN-11348
EC:2.5.1.46	2.5.1.46-RXN
EC:3.6.1.10	ENDOPOLYPHOSPHATASE-RXN
EC:2.3.1.46	HOMSUCTRAN-RXN
EC:3.1.3.2	ACID-PHOSPHATASE-RXN,RXNQT-4191
EC:2.8.2.1	ARYL-SULFOTRANSFERASE-RXN,RXN-10614,RXN-10615,RXN-10777,RXN-15589,RXN-15588,RXN-15587,RXN6666-9,RXN-11059,RXN-10782,RXN-11058
EC:5.3.1.12	GLUCUROISOM-RXN,GALACTUROISOM-RXN
EC:1.3.1.54	1.3.1.54-RXN
EC:1.3.99.17	1.3.99.17-RXN,RXN-14155,RXN-14159,RXN-14153,RXN-14152,RXN-14154,RXN-14156,RXN-641
EC:1.3.1.9	RXN-9659,RXN-9658,RXN-9657,RXN1G-248,RXN-10062,RXN-10657,RXN1G-962,RXN1G-37,RXN-9558,RXN1G-607,RXN1G-471,RXN1G-1117,RXN1G-396,RXN1G-1325,RXN1G-1130,RXN-16628,RXN-16624,ENOYL-ACP-REDUCT-NADH-RXN,RXN1G-820,RXN1G-686,RXN1G-171,RXN1G-526,RXN1G-395,RXN1G-509,RXN1G-337,RXN1G-339,RXN1G-193,RXN1G-196,RXN1G-299,RXN-11482,RXN1G-276,RXN1G-488,RXN-9662,RXN-9663,RXN-9660,RXN-9661,RXN1G-915,RXN-10661,RXN-16620,RXN1G-210,1.3.1.9-RXN,RXN0-2145,RXN1G-679,RXN1G-468,RXN-16632,RXN1G-285,RXN-11478,RXN1G-1057,RXN-9635
