RXN66-81	1.14.13.8
PHENYLPYRUVATE-DECARBOXYLASE-RXN	4.1.1.43
RXN-18297	2.4.99.8
RXN-21341	1.3.1.114
RXN-15258	2.4.1.243
PUTRESCINE-N-METHYLTRANSFERASE-RXN	2.1.1.53
RXN-10471	1.11.1.8
PEPDEPHOS-RXN	2.7.1.40
1.14.13.59-RXN	1.14.13.59
RXN-19010	2.4.1.86
CYPRIDINA-LUCIFERIN-2-MONOOXYGENASE-RXN	1.13.12.6
RXN-14822	1.14.11.44
GALACTITOL-2-DEHYDROGENASE-RXN	1.1.1.16
3.1.4.43-RXN	3.1.4.43
RXN-10907	1.4.3.4
GLYOXII-RXN	3.1.2.6
PGLUCISOM-RXN	5.3.1.9
RXN-17678	1.1.1.219
RXN-12626	3.2.1.52
RXN66-14	1.3.1.70
1.1.1.197-RXN	1.1.1.197
RXN-15676	1.14.15.31
RXN-13426	1.14.19.3
RXN-15011	2.4.2.58
RXN-1103	1.14.14.96
RXNQT-4166	2.3.3.17
RXN-4282	1.3.1.72
RXN-13264	6.2.1.47
RXN-11555	2.8.2.35
RXNQT-4321	4.4.1.13
RXN-21675	3.1.2.14
RXN-21672	1.3.1.9
RXN-15515	2.7.7.88
2.7.7.1-RXN	2.7.7.1
RXN-15302	1.11.2.5
ALLOSE-KINASE-RXN	2.7.1.55
ALANINE-AMINOTRANSFERASE-RXN	2.6.1.2
RXN-2841	1.4.9.1
RXN-17688	2.3.1.23
RXN-21395	6.2.1.47
RXN-10707	1.3.3.6
RXN-12224	1.3.8.2
RXN-9536	1.1.1.100
RXN-7697	2.3.1.199
3.4.21.105-RXN	3.4.21.105
RXN66-362	5.3.3.1
1.2.1.13-RXN	1.2.1.13
ARGSUCCINSYN-RXN	6.3.4.5
RXN-14716	5.3.3.8
3.6.3.26-RXN	7.3.2.4
RXN-17412	1.1.1.392
RXN66-482	1.3.1.38
1.14.11.2-RXN	1.14.11.2
RXN-14138	1.7.1.14
GALACTOLIPASE-RXN	3.1.1.26
RXN-14951	5.4.4.7
RXN-11619	1.2.1.94
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	5.1.3.15
RXN-12721	1.8.4.9
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	3.1.3.7
RXN-6562	3.5.1.3
ACETOOHBUTSYN-RXN	2.2.1.6
3.4.21.76-RXN	3.4.21.76
BETA-UREIDOPROPIONASE-RXN	3.5.1.6
RXN-18604	7.1.1.8
4.1.1.75-RXN	4.1.1.75
RXN-7774	4.1.1.71
RXN-20669	3.6.1.58
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	1.2.1.25
DHLBXANAU-RXN	3.8.1.3
2.4.1.133-RXN	2.4.1.133
PNP-RXN	2.4.2.1
RXN-13451	1.3.8.9
RXN-21651	4.2.1.59
RXN-12847	5.4.99.55
1.2.7.5-RXN	1.2.7.5
RXN-11951	2.8.5.2
2.4.1.163-RXN	2.4.1.149
RXN-11351	3.4.16.4
1.5.1.28-RXN	1.5.1.28
SCYTALONE-DEHYDRATASE-RXN	4.2.1.94
RXN-11595	2.1.1.180
GLYCOLATEDEHYDRO-RXN	1.1.99.14
RXN-21233	1.14.11.54
RXN-8547	4.2.3.114
4.2.3.18-RXN	4.2.3.18
RXN-11313	3.5.1.105
RXN-13306	1.3.1.93
RXN-17765	2.7.1.209
L-LYSINE-AMINOTRANSFERASE-RXN	2.6.1.36
RXN-14524	3.1.3.34
RXN-12057	3.1.4.37
2PGADEHYDRAT-RXN	4.2.1.11
2.4.1.229-RXN	2.4.1.229
LONG-CHAIN-ALDEHYDE-DEHYDROGENASE-RXN	1.2.1.48
RXN-19838	4.99.1.6
PHENOL-BETA-GLUCOSYLTRANSFERASE-RXN	2.4.1.35
THI-P-KIN-RXN	2.7.4.16
2.4.1.230-RXN	2.4.1.230
3.4.23.35-RXN	3.4.23.35
MALEYLACETATE-REDUCTASE-RXN	1.3.1.32
BADH-RXN	1.2.1.8
RXN-20190	1.18.6.1
RXN-21450	6.2.1.3
3.5.3.22-RXN	3.5.3.22
GUANIDINOBUTANAMIDE-NH3-RXN	3.5.1.4
RXN-8679	1.23.1.2
PROPIONATE--COA-LIGASE-RXN	6.2.1.17
RXN-21683	1.3.1.9
2.1.4.2-RXN	2.1.4.2
RXN-21719	2.3.1.86
RXN-13717	1.14.14.81
RIBOFLAVINKIN-RXN	2.7.1.26
1.14.18.2-RXN	1.14.18.2
RXN-18659	3.1.3.105
4.2.2.2-RXN	4.2.2.2
5-METHYLTHIORIBOSE-KINASE-RXN	2.7.1.100
RXN-12330	5.4.99.38
RXN-9660	1.3.1.9
RXN66-336	2.3.2.2
RXN-15045	2.3.1.15
RXN-17342	1.3.1.56
RXN-11846	1.14.14.90
1.1.99.28-RXN	1.1.99.28
MALATE-DEHYDROGENASE-NADP+-RXN	1.1.1.82
4.2.2.15-RXN	4.2.2.15
RXN-12070	3.7.1.14
RXN-8454	1.21.3.6
DOPACHROME-DELTA-ISOMERASE-RXN	5.3.3.12
GLYCOGEN-BRANCH-RXN	2.4.1.18
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	2.5.1.7
RXN-8475	2.4.1.271
4.4.1.14-RXN	4.4.1.14
RXN-21137	1.1.1.141
RXN-19307	2.7.8.26
RXN-13179	1.1.1.262
2.1.3.7-RXN	2.1.3.7
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	5.5.1.4
2.3.1.92-RXN	2.3.1.92
RXN-16101	1.14.19.4
PYRIDOXAL-OXIDASE-RXN	1.2.3.8
NAD-SYNTH-GLN-RXN	6.3.5.1
RXN-11327	2.4.99.15
RXN-21705	1.3.1.10
RXN-9731	1.13.11.3
RXN-13509	1.14.14.126
ACONITATE-DELTA-ISOMERASE-RXN	5.3.3.7
RXN-19672	1.17.4.4
RXN-9228	1.14.99.60
RXN-8323	1.14.19.25
RXN-10045	3.5.1.97
