# Constructed from biom file
#OTU ID	staggered	even
290426	1.0	0.0
265267	10.0	0.0
248563	0.0	1.0
316653	0.0	6.0
61102	2.0	2.0
465087	1.0	12.0
591907	152.0	215.0
456375	8.0	48.0
9670	294.0	46.0
140061	0.0	1.0
368134	1805.0	493.0
152176	0.0	4.0
582866	1.0	3.0
255326	1.0	5.0
201726	1.0	0.0
138395	10.0	9.0
165676	2391.0	789.0
551871	14.0	24.0
359086	23288.0	5815.0
307981	8689.0	947.0
366939	133.0	5.0
312294	10.0	5.0
164332	0.0	1.0
131611	1.0	0.0
217912	4701.0	6834.0
589124	14.0	38.0
287789	10.0	1.0
286714	2.0	1.0
463596	1.0	6.0
566213	1.0	0.0
136835	0.0	1.0
108090	2.0	0.0
15440	1.0	0.0
373192	393.0	229.0
98605	20.0	69.0
173654	30.0	2.0
10299	1.0	0.0
593828	4.0	11.0
20568	2.0	1.0
60136	2.0	39.0
342038	1.0	1.0
224813	9.0	575.0
316185	1.0	0.0
427239	1.0	0.0
514596	2.0	8.0
104249	4.0	1.0
330962	0.0	1.0
593345	1.0	0.0
363827	1.0	2.0
559715	1120.0	124.0
520731	1.0	0.0
143131	0.0	3.0
375253	273.0	261.0
370772	108.0	3685.0
450877	985.0	2262.0
64506	9.0	5.0
540352	296.0	2640.0
340960	3.0	3.0
107362	122.0	203.0
115190	0.0	16.0
165134	6.0	11.0
67810	1.0	20.0
361051	0.0	1.0
269541	13808.0	5323.0
183042	0.0	1.0
571767	2.0	0.0
257603	5.0	2.0
593848	2.0	0.0
230114	31.0	266.0
106887	9.0	18.0
NC_013928|646564575	1.0	0.0
167127	0.0	2.0
471081	1112.0	505.0
167999	217.0	1751.0
541935	0.0	1.0
366572	1.0	1.0
158047	20.0	30.0
183618	4.0	2064.0
132728	0.0	3.0
326116	241.0	482.0
578257	0.0	1.0
460975	1.0	0.0
376496	31.0	292.0
250979	107.0	188.0
111451	1.0	0.0
221022	1.0	0.0
555725	2.0	1.0
281015	1.0	0.0
206445	2.0	1.0
240810	4.0	1.0
151451	61.0	138.0
11085	100.0	748.0
176468	258.0	20.0
36023	69.0	166.0
288912	0.0	2.0
487598	0.0	4.0
26973	1.0	0.0
569391	6.0	13.0
24848	1.0	0.0
256939	160.0	19.0
388951	1.0	4.0
554705	2.0	1.0
577164	2.0	15.0
287502	0.0	1.0
NC_001263|637000092	0.0	1.0
250556	54.0	60.0
106141	50.0	46.0
106625	8.0	15.0
256783	2.0	0.0
576936	28.0	10.0
172586	0.0	1.0
534204	0.0	1.0
279540	97.0	152.0
66308	0.0	2.0
41580	5.0	4.0
516753	86.0	1484.0
348787	1.0	0.0
585461	0.0	1.0
261809	2.0	1.0
516195	21.0	1175.0
576222	1.0	0.0
259084	2.0	0.0
182419	0.0	2.0
465670	219.0	48.0
340095	11.0	26.0
178210	11.0	24.0
340099	143.0	200.0
589157	2.0	0.0
27227	17.0	20.0
153987	20.0	61.0
101294	1.0	0.0
136840	0.0	1.0
566294	1.0	0.0
252206	3804.0	583.0
305232	0.0	2.0
436743	8.0	29.0
98254	5.0	3.0
416169	18.0	11.0
240369	1.0	2.0
254162	3.0	6.0
584164	1.0	10.0
225786	58.0	28.0
340480	0.0	1.0
106244	1.0	0.0
39292	1.0	0.0
15561	4.0	25.0
9819	2.0	0.0
540553	0.0	1.0
166896	4.0	6.0
114860	39.0	291.0
129982	1.0	2.0
152869	0.0	1.0
218720	2.0	1.0
528675	62106.0	87544.0
544854	0.0	7.0
137341	18.0	4.0
270658	2.0	3.0
323142	0.0	1.0
66612	6417.0	10613.0
323418	75.0	13.0
66615	65.0	27.0
238994	3.0	2.0
9823	1.0	0.0
152001	19946.0	29390.0
569912	0.0	1.0
533020	5.0	8.0
506496	1.0	3.0
308767	1.0	1.0
247515	3633.0	127883.0
222180	7.0	77.0
70116	6.0	9.0
77365	702.0	1054.0
526427	2.0	4.0
331583	995.0	186.0
361605	10.0	2.0
15363	2.0	2.0
14951	14.0	23.0
8493	15.0	20.0
279449	1.0	0.0
332405	28.0	133.0
416363	0.0	2.0
192521	0.0	1.0
143358	2.0	0.0
204113	0.0	3.0
139834	1.0	25.0
202984	0.0	3.0
539044	1.0	0.0
591603	3.0	26.0
219115	0.0	1.0
329096	1.0	0.0
10115	1.0	0.0
166165	1.0	18.0
521541	6.0	1.0
109263	0.0	1.0
535836	1.0	0.0
247218	0.0	1.0
147801	4.0	37.0
544577	1310.0	2522.0
308167	79.0	220.0
37420	17.0	174.0
355115	3979.0	6764.0
589529	0.0	1.0
151964	27.0	42.0
304722	2.0	21.0
358750	0.0	3.0
525963	949.0	1463.0
198239	824.0	67.0
424721	0.0	1.0
537871	0.0	1.0
291079	4132.0	288.0
359502	1.0	1.0
512530	56.0	53.0
86	1.0	0.0
186794	0.0	1.0
164789	2.0	1.0
246179	1.0	1.0
300487	217.0	452.0
226845	8.0	0.0
101634	18.0	13.0
517381	5.0	42.0
431095	17.0	112.0
573338	150.0	274.0
308463	0.0	12.0
140940	0.0	1.0
191458	7.0	2.0
428705	1854.0	1529.0
142429	0.0	1.0
330001	3.0	0.0
206329	13.0	74.0
259635	1.0	1.0
568929	1.0	3.0
471056	0.0	2.0
168557	16.0	239.0
16243	31.0	50.0
226980	1.0	0.0
534306	0.0	2.0
367809	5.0	1.0
74130	296.0	2384.0
102460	1.0	9.0
567406	3.0	17.0
489671	83.0	9.0
263335	35.0	46.0
260900	5.0	6.0
242603	1.0	2.0
390521	25.0	57.0
8508	0.0	4.0
169182	1712.0	79.0
166908	50.0	8.0
318211	10.0	26.0
529929	76.0	13.0
242070	2.0	4.0
542142	4.0	3.0
67808	3.0	0.0
25543	7.0	12.0
314025	26.0	33.0
257195	0.0	3.0
553595	10.0	8.0
565501	1.0	0.0
531978	8.0	0.0
224745	423.0	913.0
525078	50.0	123.0
270355	2.0	0.0
81042	0.0	3.0
35115	1.0	0.0
144388	0.0	2.0
156998	1.0	0.0
512217	4.0	5.0
332471	0.0	2.0
187488	2.0	1.0
143462	2.0	1.0
569861	3682.0	23977.0
165399	510.0	4678.0
330679	8015.0	785.0
158664	4.0	0.0
158660	1036.0	9473.0
155102	135.0	137.0
254145	0.0	2.0
73584	0.0	3.0
14898	545.0	986.0
251387	11.0	3.0
12571	4.0	1718.0
322033	3.0	0.0
136387	1.0	27.0
62877	0.0	1.0
295041	62.0	5.0
11080	0.0	1.0
569384	1.0	0.0
86519	3.0	0.0
594370	0.0	1.0
285937	3364.0	14725.0
248785	204.0	180.0
304321	0.0	1.0
287416	12.0	17.0
295125	3.0	0.0
168183	0.0	1.0
94705	0.0	51.0
577170	8.0	7650.0
543541	449.0	999.0
173585	4.0	0.0
593078	1.0	1.0
244828	1.0	0.0
587124	15.0	2.0
253441	17.0	28.0
543389	1.0	0.0
365635	36.0	2.0
64653	1.0	2.0
9985	1.0	0.0
367843	354.0	783.0
305963	0.0	1.0
533976	0.0	2.0
528962	1.0	0.0
143602	25236.0	50273.0
10390	5.0	0.0
147202	243.0	378.0
354806	5.0	0.0
389728	0.0	1.0
218483	130.0	101.0
347704	59.0	68.0
529219	57.0	71.0
511643	22.0	52.0
15456	7.0	8.0
157932	4.0	0.0
288456	7.0	5.0
548093	25.0	7.0
428631	8.0	1330.0
440372	36.0	32.0
315458	0.0	1.0
280369	1.0	2.0
563063	0.0	1.0
532398	6.0	3.0
565384	169.0	425.0
542345	0.0	1.0
590820	11.0	11.0
270649	7.0	5.0
258950	1.0	1.0
140269	1.0	0.0
518597	814.0	4520.0
8433	0.0	1.0
144452	1499.0	2979.0
540230	4.0	78.0
249346	0.0	1.0
24784	303.0	410.0
15354	0.0	1.0
166890	204.0	39.0
48943	1.0	0.0
184209	127.0	1104.0
324468	1.0	3.0
15428	10.0	125.0
215946	10.0	48.0
343649	48.0	103.0
173523	20.0	42.0
121180	134.0	11.0
167538	0.0	1.0
319430	262.0	970.0
340460	0.0	1.0
152376	1.0	0.0
374555	3.0	59.0
345104	4122.0	17564.0
414081	44.0	5.0
249191	18.0	107.0
255893	3.0	14.0
567836	2.0	0.0
276567	30.0	10.0
123510	2.0	0.0
14834	3442.0	4411.0
150661	1.0	0.0
563432	57.0	315.0
256533	124.0	211.0
69970	0.0	3.0
572117	10.0	16.0
524674	2.0	1.0
463204	6.0	2.0
289128	1.0	1.0
100269	847.0	4509.0
590136	3.0	4.0
218861	0.0	6.0
587574	9.0	10.0
470688	423.0	2128.0
345038	0.0	5.0
295643	19.0	0.0
230213	4.0	1.0
593119	0.0	1.0
307587	1.0	1.0
257250	38.0	43.0
9839	2.0	0.0
295019	0.0	3.0
532163	16508.0	1396.0
313722	0.0	3.0
286732	1.0	0.0
223307	1.0	10.0
591708	0.0	6.0
572422	0.0	1.0
101221	1.0	0.0
341837	1.0	0.0
308297	42.0	76.0
555562	1112.0	2282.0
574261	6.0	34.0
572090	1.0	2.0
306758	5.0	7.0
269842	1.0	1.0
102730	2.0	19.0
464276	1.0	1.0
310896	0.0	23.0
197398	164.0	234.0
569222	0.0	2.0
64190	0.0	1.0
59906	844.0	1489.0
498716	3.0	19.0
15128	0.0	1.0
15129	0.0	2.0
364673	0.0	1.0
179803	1.0	1.0
524292	219.0	122.0
150451	1.0	29.0
290669	0.0	1.0
366374	0.0	273.0
106311	0.0	1.0
141350	11.0	34.0
149265	0.0	2.0
137961	10.0	3.0
365676	0.0	1.0
137783	0.0	1.0
17444	18.0	158.0
221944	455.0	737.0
188488	163.0	124.0
49549	2.0	4.0
237935	2.0	20.0
332240	2.0	2.0
15540	70.0	1088.0
169360	2.0	0.0
223161	1.0	3.0
304585	1.0	0.0
227083	207.0	198.0
162032	1.0	0.0
539107	80.0	3.0
550814	29.0	16063.0
148432	3.0	17.0
185646	0.0	2.0
268332	0.0	4.0
536036	5.0	38.0
581700	16.0	3.0
43142	27.0	376.0
351681	2.0	0.0
217410	14.0	3.0
256204	142.0	256.0
338191	1877.0	1799.0
346780	0.0	1.0
403853	2845.0	14317.0
581339	6.0	1.0
296719	2.0	1.0
63461	10.0	15.0
144098	0.0	1.0
247057	1.0	1.0
445268	0.0	4.0
181526	0.0	2.0
249918	21.0	33.0
218254	345.0	559.0
542694	0.0	1.0
296906	1.0	0.0
31434	2.0	3.0
92167	0.0	3.0
218826	1.0	5.0
53470	1.0	7.0
96451	0.0	1.0
295053	3939.0	634.0
312072	43.0	551.0
275130	11.0	6.0
14903	7.0	3.0
73559	0.0	1.0
561636	6.0	73.0
219134	0.0	1.0
330111	0.0	3.0
130986	1.0	2.0
563369	5.0	4.0
420444	0.0	4.0
387888	77.0	119.0
499109	0.0	21.0
214868	1.0	0.0
557023	18.0	34.0
130851	1.0	0.0
541157	619.0	4537.0
203835	113.0	243.0
168667	84.0	117.0
378011	296.0	4300.0
181275	0.0	3.0
297761	0.0	3.0
284074	406.0	854.0
288293	0.0	2.0
113900	9.0	8.0
587465	0.0	1.0
355913	0.0	1.0
484836	9.0	0.0
22071	30.0	20.0
312899	0.0	1.0
144931	3.0	0.0
573051	0.0	1.0
543887	4.0	0.0
114706	9.0	19.0
10189	1.0	0.0
413520	4.0	3.0
419236	135.0	37.0
536392	653.0	1546.0
395536	141.0	252.0
348713	0.0	1.0
170222	5.0	4.0
132953	32.0	24.0
501753	2.0	4.0
150667	4.0	6.0
323445	287.0	123.0
220521	5.0	0.0
154068	1.0	0.0
41712	20.0	28.0
548314	12.0	20.0
222437	2.0	33.0
173446	304.0	1608.0
139261	1.0	2.0
10180	1.0	0.0
315287	1.0	0.0
225526	4360.0	655.0
519436	1.0	47.0
412371	0.0	3.0
17851	0.0	47.0
347601	1.0	0.0
75781	151.0	811.0
253438	0.0	1.0
104171	0.0	3.0
399633	66.0	38.0
436699	1.0	8.0
1415	0.0	1.0
91197	0.0	2.0
560075	66.0	43.0
455409	0.0	24.0
35049	1.0	0.0
539447	0.0	1.0
356702	3.0	18.0
131778	3.0	38.0
115186	34.0	55.0
221080	3.0	520.0
15432	2.0	0.0
15431	2.0	1.0
283320	0.0	1.0
9994	3.0	0.0
297378	43.0	25.0
297379	1.0	3.0
365192	0.0	21.0
258293	1.0	0.0
310018	0.0	21.0
297444	1.0	0.0
346737	2.0	0.0
541328	542.0	1498.0
66560	21.0	5.0
529636	1.0	0.0
547227	318.0	1643.0
541266	7.0	1.0
323134	1.0	0.0
271214	0.0	5.0
254608	13.0	11.0
170577	144.0	585.0
136755	0.0	10.0
575979	0.0	1.0
570566	1.0	0.0
268803	1.0	0.0
79732	4.0	13.0
367726	1.0	1.0
217426	1.0	3.0
278250	429.0	764.0
533154	10.0	35.0
342221	5.0	1.0
528236	0.0	1.0
486153	0.0	2.0
139030	0.0	3.0
218959	3.0	303.0
218816	3.0	0.0
521318	1.0	8.0
380647	0.0	3.0
220229	35417.0	84354.0
138133	0.0	1.0
170521	3.0	0.0
311066	0.0	1.0
168277	9.0	15.0
189384	0.0	3.0
555844	0.0	2.0
591496	31.0	50.0
435351	1.0	2.0
156241	375.0	207.0
174809	689.0	8918.0
352427	1.0	0.0
563359	0.0	1.0
416643	0.0	1.0
164257	78932.0	10367.0
202340	1.0	0.0
9977	1.0	1.0
448537	25.0	28.0
224468	0.0	1.0
237022	1.0	3.0
100637	64.0	1738.0
360440	1016.0	7082.0
295395	2.0	0.0
238148	1.0	0.0
6469	1855.0	9509.0
354139	0.0	18.0
532891	4.0	12.0
262662	10.0	1.0
387095	98547.0	18806.0
589764	81.0	293.0
256549	0.0	2.0
172747	1.0	0.0
139457	1.0	4.0
301184	1765.0	156.0
470523	0.0	4.0
104405	0.0	2.0
143661	1.0	1.0
546546	10.0	16.0
15387	0.0	1.0
171559	154.0	2028.0
111616	1.0	1.0
289103	1011.0	177.0
542754	0.0	1.0
15571	0.0	6.0
15570	0.0	1.0
102960	0.0	1.0
331248	0.0	2.0
170011	0.0	7.0
106910	262.0	486.0
256608	1.0	1.0
535159	161.0	280.0
272596	1.0	0.0
8525	0.0	1.0
152527	0.0	1.0
15439	0.0	1.0
201888	2.0	0.0
356733	74563.0	9051.0
161820	1.0	1.0
279948	14.0	15.0
537678	2142.0	5480.0
350209	2.0	22.0
181589	237.0	179.0
181902	0.0	1.0
537145	5.0	50.0
165079	11894.0	1773.0
205128	1.0	0.0
299340	0.0	5.0
15378	25.0	29.0
510792	1.0	0.0
100449	327.0	29.0
521294	0.0	1.0
580990	3.0	0.0
209511	0.0	1.0
258785	1.0	0.0
8488	0.0	1.0
192450	87.0	388.0
103092	106.0	719.0
