assembly	18S_rRNA_Count
GCF_000002415.2_ASM241v2	6
GCF_000002515.2_ASM251v1	3
GCF_000002545.3_ASM254v2	1
GCF_000002725.2_ASM272v2	6
GCF_000002765.3_ASM276v1	5
GCF_000002825.2_ASM282v1	84
GCF_000002875.2_ASM287v2	1
GCF_000003225.3_ASM322v1	2
GCF_000003835.1_ASM383v1	5
GCF_000004155.1_SCY4	2
GCF_000004695.1_dicty_2.7	1
GCF_000006355.1_ASM635v1	2
GCF_000006405.1_JCVI_PMG_1.0	123
GCF_000006515.1_JCVI_cmg_v1.0	7
GCF_000026365.1_ASM2636v1	3
GCF_000026945.1_ASM2694v1	1
GCF_000091025.4_ASM9102v4	39
GCF_000091045.1_ASM9104v1	2
GCF_000142805.1_ASM14280v1	3
GCF_000142905.1_TheTra_May2010	1
GCF_000142945.1_ASM14294v1	79
GCF_000143105.1_Sanger-454-IlluminaPA_2.0	2
GCF_000143365.1_ASM14336v1	3
GCF_000143565.1_V1.0	2
GCF_000146045.2_R64	2
GCF_000149035.1_C_graminicola_M1_001_V1	8
GCF_000149405.2_ASM14940v2	2
GCF_000149555.1_ASM14955v1	8
GCF_000149685.1_ASM14968v1	6
GCF_000149755.1_P.sojae_V3.0	3
GCF_000149845.2_SJ5	4
GCF_000149955.1_ASM14995v2	26
GCF_000150035.1_ASM15003v1	3
GCF_000150675.1_ASM15067v2	2
GCF_000150825.1_ASM15082v1	7
GCF_000150955.2_ASM15095v2	1
GCF_000150975.2_MS_CBS118893	4
GCF_000151125.1_ASM15112v2	3
GCF_000151145.1_ASM15114v1	5
GCF_000151505.1_ASM15150v1	1
GCF_000151545.1_ASM15154v2	5
GCF_000151645.1_ASM15164v1	4
GCF_000165365.1_ASM16536v1	2
GCF_000165395.1_ASM16539v1	3
GCF_000167675.1_v2.0	1
GCF_000170995.1_TRIVI_v2.0	5
GCF_000171015.1_TRIAT_v2.0	1
GCF_000181695.1_ASM18169v1	1
GCF_000182805.1_ASM18280v1	1
GCF_000182925.2_NC12	42
GCF_000182965.3_ASM18296v3	1
GCF_000184105.1_Geom_destructans_V1	1
GCF_000185945.1_ASM18594v1	50
GCF_000187245.1_Hansenula_2	1
GCF_000190715.1_v1.0	2
GCF_000203795.1_v1.0	12
GCF_000204055.1_v1.0	19
GCF_000208925.1_JCVI_ESG2_1.0	1
GCF_000209065.1_ASM20906v1	5
GCF_000209125.1_JCVI_EDISG_1.0	180
GCF_000218685.1_v1.0	7
GCF_000219625.1_MYCGR_v2.0	2
GCF_000221225.1_CTHT_3.0	1
GCF_000223845.1_GNI3	1
GCF_000225545.1_AOL24927_1.0	1
GCF_000226095.1_ASM22609v1	2
GCF_000226115.1_ASM22611v1	1
GCF_000227115.2_ASM22711v2	1
GCF_000227135.1_ASM22713v2	1
GCF_000234665.1_ASM23466v4	2
GCF_000235365.1_ASM23536v1	2
GCF_000236905.1_ASM23690v1	1
GCF_000237345.1_ASM23734v1	2
GCF_000240135.3_ASM24013v3	15
GCF_000240725.1_ASM24072v1	1
GCF_000243375.1_ASM24337v1	3
GCF_000247585.1_PP_INRA-310_V2	1
GCF_000271625.1_Conpu1	1
GCF_000271645.1_Treme1	3
GCF_000298775.1_ASM29877v1	1
GCF_000300575.1_Agabi_varbisH97_2	3
GCF_000304475.1_Ka_CBS2517	1
GCF_000315915.1_ASM31591v1	2
GCF_000320585.1_Heterobasidion_irregulare_v2.0	1
GCF_000321355.1_PcynB_1.0	5
GCF_000338955.1_Bauco1	1
GCF_000338995.1_Cocsa1	2
GCF_000342415.1_JCVI-bewag-v1.1	2
GCF_000344685.1_Glotr1_1	1
GCF_000348985.1_ASM34898v1	2
GCF_000349005.2_Pneumo_murina_B123_V4	1
GCF_000354255.1_CocheC4_1	1
GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0	21
GCF_000385595.1_UCRNP2V3	2
GCF_000403515.1_ASM40351v1	1
GCF_000441935.1_MHA_v2	1
GCF_000464535.1_EPUS	1
GCF_000497045.1_PSEUBRA1	1
GCF_000499605.1_EMW001	2
GCF_000520075.1_Apha_asta_APO3_V1	4
GCF_000520115.1_Apha_inva_NJM9701_V1	1
GCF_000523435.1_Cochliobolus_carbonum_v1.0	1
GCF_000524495.1_Plas_inui_San_Antonio_1_V1	1
GCF_000576695.1_AUH_PRJEB4427_v1	1
GCF_000582985.1_CFIO01	1
GCF_000691245.1_Tgr_V1	1
GCF_000708205.1_Mixia_osmundae_v1.0	4
GCF_000709005.1_Plas_vinc_vinckei_V1	4
GCF_000740895.1_ASM74089v1	2
GCF_000755165.1_ASM75516v1	1
GCF_000760515.1_UGP1.0	1
GCF_000787575.1_Asub_2.0	1
GCF_000814965.1_MBR_1.0	2
GCF_000938715.1_LALA0	2
GCF_000956335.1_Plas_frag_nilgiri_V1	2
GCF_000961545.1_S_schenckii_v1	1
GCF_001189475.1_ASM118947v1	2
GCF_001278385.1_MalaPachy	1
GCF_001293395.1_ASM129339v1	1
GCF_001417885.1_Kmar_1.0	2
GCF_001477535.1_Pneu_jiro_RU7_V2	1
GCF_001477545.1_Pneu_cari_B80_V3	1
GCF_001601855.1_ASM160185v1	1
GCF_001602025.1_ASM160202v1	1
GCF_001638985.1_Phybl2	5
GCF_001640025.1_ASM164002v2	7
GCF_001653235.2_ASM165323v2	1
GCF_001664035.1_Metbi1	1
GCF_001664045.1_Hanpo2	6
GCF_001672515.1_ASM167251v1	40
GCF_001680005.1_ASM168000v1	3
GCF_001831195.1_CORC01	1
GCF_001983325.1_ASM198332v1	18
GCF_900002335.2_PCHAS01	3
GCF_900002375.1_PBANKA01	3
GCF_900002385.1_PY17X01	3
